title,dc_source,prism_url,date,line,git_date
Editorial: Plastics in aquatic systems: From transport and fate to impacts and management perspectives,Frontiers in Environmental Science,https://www.frontiersin.org/articles/10.3389/fenvs.2022.1034777,2023-03-14,0,2023-03-14
"A socio-ecological model of the Segura River basin, Spain",Ecological Modelling,https://www.sciencedirect.com/science/article/pii/S0304380023000121?dgcid=rss_sd_all,2023-03-14,0,2023-03-14
Could the hydrological conditions of Lake Baiyangdian support a booming metropolis?,Science of the Total Environment,https://www.sciencedirect.com/science/article/pii/S0048969723003790?dgcid=rss_sd_all,2023-03-14,0,2023-03-14
Is the future female for turtles? Climate change and wetland configuration predict sex ratios of a freshwater species,Global Change Biology,https://onlinelibrary.wiley.com/doi/10.1111/gcb.16625?af=R,2023-03-14,0,2023-03-14
Long-term trends in inflowing chlorophyll a and nutrients and their relation to dissolved oxygen in a large western reservoir,Lake and Reservoir Management,https://www.tandfonline.com/doi/full/10.1080/10402381.2022.2160395?af=R,2023-03-14,0,2023-03-14
Vertical distribution patterns of zooplankton across a gradient of fish predation in boreal lakes,Freshwater Biology,https://onlinelibrary.wiley.com/doi/10.1111/fwb.14049?af=R,2023-03-14,0,2023-03-14
Dispersal of aquatic and terrestrial organisms by waterbirds: A review of current knowledge and future priorities,Freshwater Biology,https://onlinelibrary.wiley.com/doi/10.1111/fwb.14038?af=R,2023-03-14,0,2023-03-14
"Movement and surrounding community of the understudied and endangered Ligumia recta (Mollusca, Unionidae)",Hydrobiologia,http://link.springer.com/10.1007/s10750-023-05145-2,2023-03-14,0,2023-03-14
Empirical stream thermal sensitivities cluster on the landscape according to geology and climate,HESS,https://doi.org/10.5194/hess-2022-428,2023-03-14,0,2023-03-14
Using high level validation to increase lake ecosystem model reliability,Environmental Modelling & Software,https://www.sciencedirect.com/science/article/pii/S1364815223000233?dgcid=rss_sd_all,2023-03-14,0,2023-03-14
"Changes in suspended‐sediment yields under divergent land cover disturbance histories: a comparison of two large watersheds, Olympic Mountains, USA",Earth Surface Processes and Landforms,https://onlinelibrary.wiley.com/doi/10.1002/esp.5556?af=R,2023-03-14,0,2023-03-14
Watershed DOC uptake occurs mostly in lakes in the summer and in rivers in the winter,Limnology and Oceanography,https://aslopubs.onlinelibrary.wiley.com/doi/10.1002/lno.12306?af=R,2023-03-14,0,2023-03-14
Development of phytoplankton of Lake Vesijärvi during recovery from eutrophication,Hydrobiologia,http://link.springer.com/10.1007/s10750-022-05136-9,2023-03-14,0,2023-03-14
How do farmers’ environmental preferences influence the efficiency of information instruments for water quality management? Evidence from a social-ecological a...,Ecological Modelling,https://www.sciencedirect.com/science/article/pii/S0304380023000285?dgcid=rss_sd_all,2023-03-14,0,2023-03-14
"Colloidal stability and aggregation behavior of CdS colloids in aquatic systems: Effects of macromolecules, cations, and pH",Science of the Total Environment,https://www.sciencedirect.com/science/article/pii/S0048969723004291?dgcid=rss_sd_all,2023-03-14,0,2023-03-14
Editorial: Multiple freshwater stressors—Key drivers for the future of freshwater environments,Frontiers in Environmental Science,https://www.frontiersin.org/articles/10.3389/fenvs.2023.1143706,2023-03-14,0,2023-03-14
Geophysical‐geotechnical methodology for assessing the spatial distribution of glacio‐lacustrine sediments: the case history of Lake Seracchi,Earth Surface Processes and Landforms,https://onlinelibrary.wiley.com/doi/10.1002/esp.5555?af=R,2023-03-14,0,2023-03-14
Hydrogel oxygen reservoirs increase functional integration of neural stem cell grafts by meeting metabolic demands,Nature Communications,https://www.nature.com/articles/s41467-023-36133-8,2023-03-14,0,2023-03-14
Development of non-data driven reservoir routing in the routing application for parallel computatIon of discharge (RAPID) model,Environmental Modelling & Software,https://www.sciencedirect.com/science/article/pii/S1364815223000178?dgcid=rss_sd_all,2023-03-14,0,2023-03-14
Controlling factors of phytoplankton distribution in the river–lake transition zone of a large lake,Aquatic Sciences,http://link.springer.com/10.1007/s00027-023-00934-2,2023-03-14,0,2023-03-14
Monod parameterization and competition at low iron among freshwater cyanobacteria and chlorophytes,Hydrobiologia,http://link.springer.com/10.1007/s10750-023-05150-5,2023-03-14,0,2023-03-14
Identifying lakes at risk of toxic cyanobacterial blooms using satellite imagery and field surveys across the United States,Science of the Total Environment,https://www.sciencedirect.com/science/article/pii/S0048969723003996?dgcid=rss_sd_all,2023-03-14,0,2023-03-14
Allocation of phosphorus (P) into biomass and calcite encrustation in Chara at high and low P availability,Aquatic Sciences,http://link.springer.com/10.1007/s00027-023-00938-y,2023-03-14,0,2023-03-14
Spatial distribution characteristics of splashing rainfall caused by nappe flow impingement on a plunge pool,Frontiers in Environmental Science,https://www.frontiersin.org/articles/10.3389/fenvs.2023.1096960,2023-03-14,0,2023-03-14
